"Our Producers, January, 2014",,
,,
AUSTRIA,,
,,
,Carnuntum,
,,Weingut Nadler  (Arbesthal)
,Kamptal,
,,Bründlmayer  (Langenlois)
,,Schloss Gobelsburg  (Gobelsburg)
,,Hiedler  (Langenlois)
,,Hirsch  (Kammern)
,Kremstal,
,,Berger  (Gedersdorf)
,,Nigl  (Priel)
,Neusiedlersee,
,,Sattler  (Tadten)
,Neusiedlersee-Hügelland,
,,Prieler  (Schützen)
,,Heidi Schröck  (Rust)
,Wachau,
,,Nikolaihof-Wachau  (Mautern)
,Wagram,
,,Ecker  (Kirchberg-Mitterstockstal)
,,Ott  (Feuersbrun)
,Weinviertal,
,,Hofer  (Auersthal)
,,Schwarzböck  (Hagenbrunn)
,,
FRANCE,,
,,
,Beaujolais,
,,Domaine Savoye  (Fleury)
,Bordeaux,
,,Château du Cros  (Loupiac)
,,Château du Moulin Rouge  (Cussac Fort Medoc)
,,Château La Galante  (Beychac et Caillau)
,,Vignobles Ducourt  (Cessac)
,Burgundy,
,,Philippe Chavy  (Puligny-Montrachet)
,,Bruno Clavelier  (Vosne-Romanée)
,,Laurent Cognard  (Montagny)
,,Pierre-Yves Colin-Morey  (Chassagne-Montrachet)
,,Clos du Moulin aux Moines  (Auxey-Duresses)
,,Frederic Esmonin  (Gevrey-Chambertin)
,,Domaine Humbert  (Gevrey-Chambertin)
,,Thierry Laffay  (Chablis)
,,Cedric et Patrice Martin  (Chanes)
,,Jean-Marc Millot  (Nuits-Saint-Georges)
,,Vincent Prunier  (Auxey-Duresses)
,,
,,
,Champagne,
,,L. Aubry  (Jouy-lès-Reims)
,,Henri Billiot  (Ambonnay)
,,Chartogne-Taillet  (Merfy)
,,Gaston Chiquet  (Dizy)
,,Pierre Gimonnet  (Cuis)
,,René Geoffroy  (Cumières)
,,Henri Goutorbe  (Aÿ)
,,Guiborat Fils  (Cramant)
,,H. Blin  (Vincelles)
,,Marc Hébrart  (Mareuil-sur-Aÿ)
,,Henriet-Bazin  (Villers-Marmery)
,,Jean Lallement  (Verzenay)
,,Jacques Lassaigne  (Montgueux)
,,A. Margaine  (Villers-Marmery)
,,Pehu-Simonet  (Verzenay)
,,Pierre Peters  (Le Mesnil-sur-Oger)
,,Vilmart & Cie  (Rilly-la-Montagne)
,Jura,
,,Domaine André et Mireille Tissot  (Montigny-les-Arsures)
,Languedoc,
,,Château Ollieux Romanis  (Montséret)
,Loire Valley,
,,Bourillons-Dorléans  (Rochecorbon)
,,Domaine Chatelain  (Saint Andelain - Pouilly-sur-Loire)
,,Château du Poyet  (La Chapelle-Heulin)
,,Clos de L'Elu  (St. Aubin-de-Luigné)
,,Domaine des Dorices  (Vallet)
,,Domaine de la Roche Honneur  (Savigny-en-Véron)
,,Jean-Max Roger  (Bué)
,,Domaine Villargeau  (Pougny)
,Provence,
,,Château du Rouët  (Le Muy)
,Rhone Valley,
,,La Bastide Saint Dominique  (Courthézon)
,,Domaine Bonserine  (Ampuis)
,,Domaine du Colombier  (Tain L'Hermitage)
,,Saint Gayan  (Gigondas)
,,Domaine Vincent Paris  (Tain L'Hermitage)
,,
GERMANY,,
,,
,Mosel,
,,A.J. Adam  (Dhron)
,,Joh. Jos. Christoffel  (Ürzig)
,,Carl Loewen / Schmitt-Wagner  (Leiwen)
,,Meulenhof / Erben Justen Ehlen  (Erden)
,,Reuscher-Haart  (Piesport)
,,Willi Schaefer  (Graach)
,,Selbach-Oster  (Zeltingen)
,,
,Nahe,
,,Schlossgut Diel  (Burg Layen)
,,Dönnhoff  (Oberhausen)
,,Hexamer  (Meddersheim)
,,Jakob Schneider  (Niederhausen)
,Pfalz,
,,Kurt Darting  (Bad-Dürkheim)
,,Herbert Messmer  (Burrweiler)
,,Eugen Müller  (Forst)
,,Müller-Catoir  (Haardt)
,,von Winning / Dr. Deinhard  (Deidesheim)
,Rheingau,
,,Josef Leitz  (Rüdesheim)
,,Spreitzer  (Oestrich)
,Rheinhessen,
,,Weingut Geil  (Bechtheim)
,,Gernot Gysler  (Weinheim)
,,Strub  (Nierstein)
,Saar,
,,Von Othegraven  (Kanzem)
,,
ITALY,,
,,
,Abruzzo,
,,Filomusi Guelfi  (Popoli)
,Campania,
,,Cantine Antonio Caggiano  (Taurasi)
,,De Angelis  (Sorrento)
,,Cantina del Taburno  (Foglianise)
,Lazio,
,,Lorenzo Costantini  (Monteporzio Catone - Roma)
,Marche,
,,Fattoria Le Terrazze  (Numana)
,Piedmont,
,,Antoniolo  (Gattinara Vercelli)
,,Azelia  (Castiglione di Falletto)
,,Clerico  (Monforte d'Alba)
,,Paolo Conterno  (Monforte d'Alba)
,,Corino Renato  (La Morra)
,,Correggia  (Canale d'Alba)
,,Silvio Grasso  (La Morra)
,,Marengo  (La Morra)
,,Stefano Massone  (Capriata d'Orba)
,,Pira Luigi  (Serralunga d'Alba)
,,Fratelli Revello  (La Morra)
,,Albino Rocca  (Barbaresco)
,Puglia,
,,Santa Lucia  (Corsato)
,Sicily,
,,Centonze  (Marsala)
,,Ferrandes  (Pantelleria)
,,Pupillo  (Siracusa)
,,Tenuta delle Terre Nere  (Randazzo)
,Tuscany,
,,Fattoria Ambra  (Carmignano)
,,Podere Brizio  (Montalcino)
,,Gianni Brunelli  (Montalcino)
,,"Casato ""Voliero"" by Uccelliera  (Castelnuovo dell Abate)"
,,Le Cinciole  (Grieve in Chianti)
,,Dei  (Montepulciano)
,,Falchini  (San Gimignano)
,,Fontaleoni  (San Gimignano)
,,Fuori Strada by Monte Bernardi  
,,La Serena  (Montalcino)
,,Le Potazzine  (Montalcino)
,,Lucignano  (San Pancrazio Val di Pesa)
,,Monte Bernardi  (Grieve in Chianti)
,,Giacomo Mori  (Casciano dei Bagni)
,,San Filippo  (Montalcino)
,,Scopteone  (Montalcino)
,,Uccelliera  (Castelnuovo dell Abate)
,Umbria,
,,Palazzone  (Orvieto)
,,Cantina Fratelli Pardi  (Montefalco)
,Veneto,
,,Cantine Umberto Bortolotti  (Valdobbiadene)
,,Gini  (Monteforte d'Alpone)
,,Roberto Mazzi e Figli  (Negrar)
,,
PORTUGAL,,
,,
,Douro,
,,Drink & Dreams  (Vila Nova di Gaia)
,,
SLOVENIA,,
,,
,Primorska,
,,Vinska Klet Goriska Brda  (Dobrovo)
,,
SPAIN,,
,,
,Bierzo,
,,Bodegas Godelia  (Cacabelos)
,Campo de Borja,
,,Bodegas Santo Cristo  (Ainzon)
,Castilla y Leon,
,,Bodegas Mauro  (Tudela de Duero)
,Jerez-Xérés-Sherry,
,,La Ina  (Jerez de la Frontera)
,,
,Montsant,
,,Espectacle de Montsant  (La Figuera)
,,Venus la Universal  (Porrera)
,Penedes,
,,Castell d'Age  (La Beguda Baixa)
,Priorat,
,,Clos Figueras  (Gratallops)
,,Clos Mogador  (Gratallops)
,Rias Baixas,
,,Agro de Bazan  (Tremoedo)
,,Lagar de Cervera  (Pontevedra)
,Ribera del Duero,
,,Bodegas Monteabellon  (Nava de Roa)
,,Bodegas Aster  (Anguix Burgos)
,,Cepa 21  (Castillo de Duero)
,,Emilio Moro  (Pesquera de Duero)
,Rioja,
,,"Contino  (Laserna, Alavese)"
,,Cune  (Haro)
,,Viña Real   (Laguardia)
,,La Rioja Alta  (Haro)
,,Torre de Oña  (Páganos-Laguardia)
,Rueda,
,,Marqués de Irun  (La Seca)
,Txakoli de Guetaria,
,,Ulacia  (Getaria)
,Yecla,
,,Castillo del Baron  (Yecla)
,,
USA,,
,,
,California,
,,The Pinot Project  (California)
,Illinois,
,,Illinois Sparkling Co.  (Peru)
,Oregon,
,,Bow & Arrow  (Portland)
